probe,gene
ILMN_1343291,EEF1A1
ILMN_1343295,GAPDH
ILMN_1651209,SLC35E2A
ILMN_1651210,DUSP22
ILMN_1651228,RPS28
ILMN_1651229,IPO13
ILMN_1651232,FAM86FP
ILMN_1651235,AFAP1
ILMN_1651237,CDT1
ILMN_1651238,TRPV1
ILMN_1651254,LPP
ILMN_1651260,CCNE2
ILMN_1651262,HNRNPAB
ILMN_1651268,BORCS5
ILMN_1651278,SNIP1
ILMN_1651282,COL17A1
ILMN_1651285,BCL6B
ILMN_1651286,GRHL1
ILMN_1651303,ATP13A4
ILMN_1651309,DIAPH2
ILMN_1651315,HMG20B
ILMN_1651316,CD69
ILMN_1651336,MLYCD
ILMN_1651339,UHRF1BP1L
ILMN_1651341,NOC2LP2
ILMN_1651343,ITGA11
ILMN_1651346,TICAM2
ILMN_1651347,SERTAD2
ILMN_1651354,SPP1
ILMN_1651358,HBE1
ILMN_1651364,PCBD2
ILMN_1651365,ZBED2
ILMN_1651370,USP21
ILMN_1651373,RHD
ILMN_1651378,AUP1
ILMN_1651385,MFN2
ILMN_1651404,LILRA6
ILMN_1651405,BRD9
ILMN_1651415,DERL3
ILMN_1651429,SELENOM
ILMN_1651430,CTRB2
ILMN_1651433,DCK
ILMN_1651437,FOXI1
ILMN_1651438,ZFPM1
ILMN_1651456,UTY
ILMN_1651457,GPR32
ILMN_1651464,KDM2B
ILMN_1651466,ALOX5
ILMN_1651470,MMP17
ILMN_1651490,CYP26A1
ILMN_1651492,WNT2B
ILMN_1651496,HIST1H2BD
ILMN_1651498,GADD45G
ILMN_1651501,ABCD4
ILMN_1651504,FAM193A
ILMN_1651506,TGS1
ILMN_1651513,MTREX
ILMN_1651535,TMEM217
ILMN_1651538,NUMBL
ILMN_1651544,HDAC8
ILMN_1651547,SEMA3E
ILMN_1651554,RGS5
ILMN_1651557,POGLUT3
ILMN_1651568,MUC13
ILMN_1651569,XRCC2
ILMN_1651574,AQP3
ILMN_1651597,FBXO44
ILMN_1651599,ENTPD2
ILMN_1651604,MARK4
ILMN_1651609,SPRED3
ILMN_1651617,CTNNB1
ILMN_1651624,C6orf201
ILMN_1651628,EXOC6
ILMN_1651636,CYP2A13
ILMN_1651637,MED14
ILMN_1651642,GPC2
ILMN_1651643,ASB11
ILMN_1651652,RTN3
ILMN_1651656,PSG7
ILMN_1651657,ADAM33
ILMN_1651660,TMEM191B
ILMN_1651664,SDHAP1
ILMN_1651684,KIAA0586
ILMN_1651685,FAM135B
ILMN_1651690,PGBD4
ILMN_1651692,STK10
ILMN_1651693,GSG1
ILMN_1651699,EPS8
ILMN_1651705,CAT
ILMN_1651708,RESP18
ILMN_1651710,IQCD
ILMN_1651712,RBM11
ILMN_1651715,RNF2
ILMN_1651717,ADAMTS20
ILMN_1651719,MBTPS1
ILMN_1651735,TGOLN2
ILMN_1651741,ARMCX3
ILMN_1651745,TMEM25
ILMN_1651752,CXorf21
ILMN_1651763,TFDP3
ILMN_1651767,MRTFA
ILMN_1651769,ZFYVE16
ILMN_1651771,RRAGB
ILMN_1651776,FHOD1
ILMN_1651787,MSH5
ILMN_1651788,MAP3K11
ILMN_1651789,VCX2
ILMN_1651792,RORC
ILMN_1651799,SLC38A2
ILMN_1651800,GSTM4
ILMN_1651817,GRIK1
ILMN_1651819,GALNT11
ILMN_1651826,BASP1
ILMN_1651828,CCT3
ILMN_1651832,EHD1
ILMN_1651838,RND1
ILMN_1651846,EML6
ILMN_1651848,ITSN1
ILMN_1651850,RPS16
ILMN_1651865,KIAA1257
ILMN_1651872,UBIAD1
ILMN_1651878,EVC
ILMN_1651886,CWF19L1
ILMN_1651900,KCNA4
ILMN_1651902,RASL11A
ILMN_1651936,KMT5A
ILMN_1651938,EML6
ILMN_1651940,OR6C76
ILMN_1651943,ANK3
ILMN_1651944,CTNND1
ILMN_1651949,SCYL3
ILMN_1651950,TPST1
ILMN_1651958,MGP
ILMN_1651964,ABCC5
ILMN_1651966,FGFR3
ILMN_1651967,TP53I3
ILMN_1651980,GOLGA6L1
ILMN_1651987,CCDC167
ILMN_1652000,FAM156A
ILMN_1652003,GNG10
ILMN_1652006,SMC1A
ILMN_1652008,KNSTRN
ILMN_1652017,PPEF1
ILMN_1652022,DHX57
ILMN_1652023,AGFG2
ILMN_1652024,CSNK1G3
ILMN_1652037,UPP2
ILMN_1652056,TTN
ILMN_1652065,KCNMB1
ILMN_1652066,SNED1
ILMN_1652072,NIM1K
ILMN_1652082,ELF4
ILMN_1652085,MPHOSPH10
ILMN_1652088,PAPOLB
ILMN_1652104,KRAS
ILMN_1652123,HMGN1
ILMN_1652128,LMBRD1
ILMN_1652137,NPY4R
ILMN_1652147,MRPL43
ILMN_1652155,DHX9
ILMN_1652160,LRBA
ILMN_1652161,PNKD
ILMN_1652163,DVL2
ILMN_1652171,CDKN2C
ILMN_1652175,KRTAP9-8
ILMN_1652181,KIF2B
ILMN_1652185,IL4R
ILMN_1652188,EPG5
ILMN_1652196,CTAG1A
ILMN_1652198,CCM2
ILMN_1652207,COX4I1
ILMN_1652219,NOL4L
ILMN_1652223,WDR91
ILMN_1652237,CBR3
ILMN_1652244,POPDC3
