probe,gene
200000_s_at,PRPF8
200001_at,CAPNS1
200002_at,RPL35
200004_at,EIF4G2
200005_at,EIF3D
200006_at,PARK7
200007_at,SRP14
200008_s_at,GDI2
200009_at,GDI2
200010_at,RPL11
200011_s_at,ARF3
200013_at,RPL24
200014_s_at,HNRNPC
200015_s_at,SEPTIN2
200017_at,RPS27A
200019_s_at,FAU
200020_at,TARDBP
200021_at,CFL1
200022_at,RPL18
200023_s_at,EIF3F
200024_at,RPS5
200025_s_at,RPL27
200026_at,RPL34
200027_at,NARS
200028_s_at,STARD7
200029_at,RPL19
200030_s_at,SLC25A3
200032_s_at,RPL9
200034_s_at,RPL6
200035_at,CTDNEP1
200036_s_at,RPL10A
200037_s_at,CBX3
200039_s_at,PSMB2
200040_at,KHDRBS1
200042_at,RTCB
200043_at,ERH
200045_at,ABCF1
200046_at,DAD1
200047_s_at,YY1
200048_s_at,JTB
200049_at,KAT7
200050_at,ZNF146
200051_at,SART1
200052_s_at,ILF2
200053_at,SPAG7
200054_at,ZPR1
200055_at,TAF10
200056_s_at,C1D
200057_s_at,NONO
200059_s_at,RHOA
200060_s_at,RNPS1
200061_s_at,RPS24
200062_s_at,RPL30
200063_s_at,NPM1
200064_at,HSP90AB1
200066_at,IK
200067_x_at,SNX3
200068_s_at,CANX
200069_at,SART3
200070_at,CNPPD1
200071_at,SMNDC1
200072_s_at,HNRNPM
200073_s_at,HNRNPD
200074_s_at,RPL14
200075_s_at,GUK1
200076_s_at,KXD1
200077_s_at,OAZ1
200078_s_at,ATP6V0B
200079_s_at,KARS
200081_s_at,RPS6
200082_s_at,RPS7
200083_at,USP22
200084_at,C11orf58
200085_s_at,ELOB
200086_s_at,COX4I1
200087_s_at,TMED2
200090_at,FNTA
200091_s_at,RPS25
200092_s_at,RPL37
200093_s_at,HINT1
200094_s_at,EEF2
200095_x_at,RPS10
200096_s_at,ATP6V0E1
200097_s_at,HNRNPK
200098_s_at,ANAPC5
222385_x_at,SEC61A1
222386_s_at,COPZ1
222387_s_at,VPS35
222388_s_at,VPS35
222389_s_at,WAC
222390_at,WAC
222391_at,TMEM30A
222392_x_at,PERP
222393_s_at,NAA50
222394_at,PDCD6IP
222395_s_at,UBE2Z
222396_at,JPT1
222397_at,EFTUD2
222398_s_at,EFTUD2
222399_s_at,TM9SF3
222400_s_at,ADI1
222401_s_at,TMEM50A
222402_at,POMP
222403_at,MTCH2
222404_x_at,HACD3
222405_at,HACD3
222406_s_at,PNRC2
222407_s_at,ZNF106
222408_s_at,YPEL5
222409_at,CORO1C
222410_s_at,SNX6
222411_s_at,SSR3
222412_s_at,SSR3
222413_s_at,KMT2C
222414_at,KMT2C
222415_at,KMT2C
222416_at,ALDH18A1
222417_s_at,SNX5
222418_s_at,TMEM43
222419_x_at,UBE2H
222420_s_at,UBE2H
222421_at,UBE2H
222422_s_at,NDFIP1
222423_at,NDFIP1
222424_s_at,NUCKS1
222425_s_at,POLDIP2
222426_at,MAPKAP1
222427_s_at,LARS
222428_s_at,LARS
222430_s_at,YTHDF2
222431_at,SPIN1
222432_s_at,CCDC47
222433_at,ENAH
222434_at,ENAH
222435_s_at,UBE2J1
222438_at,MED4
222439_s_at,THRAP3
222440_s_at,THRAP3
222441_x_at,PRELID3B
222442_s_at,ARL8B
222443_s_at,RBM8A
222444_at,ARMCX3
222445_at,SLC39A9
222446_s_at,BACE2
222447_at,METTL9
222448_s_at,CMPK1
222449_at,PMEPA1
222450_at,PMEPA1
222451_s_at,ZDHHC9
222452_s_at,GPBP1L1
222453_at,CYBRD1
